HOME,Daily new,43,0,0,4,18,59,77,94,151,134,263,462,714,780,"1,779","1,477","1,755","2,011","2,127","2,604","2,834","3,242","3,922","3,726","3,163","3,446","2,668","3,005","2,549","2,071","15,156","4,110","2,662","2,097","2,133","2,002","1,850",512,970,995,979,551,885,748,"1,012","1,264","1,521","1,964","1,978","1,765","2,667","1,153",,,,,,,,,,,,,COVID2019.app Team,,,,,,,,,,,
,(Excl. China),1,0,0,0,1,0,0,1,2,3,4,18,13,11,8,18,18,30,28,15,9,9,36,32,20,51,26,32,82,56,5,63,21,89,85,114,101,121,81,172,331,337,377,342,579,937,"1,094","1,391","1,776","1,640","2,548",0,,,,,,,,,,,,,,,,,,,,,,,,
Total,,43,43,43,46,64,123,200,294,445,579,843,"1,304","2,005","2,786","4,565","6,041","7,797","9,816","11,946","14,551","17,389","20,633","24,556","28,283","31,446","34,896","37,578","40,672","43,232","45,303","60,460","65,613","68,275","70,373","72,387","74,387","76,237","77,178","78,148","78,717","79,696","80,247","81,132","81,880","82,892","84,156","85,677","87,637","89,615","91,380","94,047","95,201",,,,,,,,,,,,,Contributors,,,,,,,,,,,
Total,Territory / Date,"Jan 13, 2020","Jan 14, 2020","Jan 15, 2020","Jan 16, 2020","Jan 17, 2020","Jan 18, 2020","Jan 19, 2020","Jan 20, 2020","Jan 21, 2020","Jan 22, 2020","Jan 23, 2020","Jan 24, 2020","Jan 25, 2020","Jan 26, 2020","Jan 27, 2020","Jan 28, 2020","Jan 29, 2020","Jan 30, 2020","Jan 31, 2020","Feb 1, 2020","Feb 2, 2020","Feb 3, 2020","Feb 4, 2020","Feb 5, 2020","Feb 6, 2020","Feb 7, 2020","Feb 8, 2020","Feb 9, 2020","Feb 10, 2020","Feb 11, 2020","Feb 12, 2020","Feb 13, 2020","Feb 14, 2020","Feb 15, 2020","Feb 16, 2020","Feb 17, 2020","Feb 18, 2020","Feb 19, 2020","Feb 20, 2020","Feb 21, 2020","Feb 22, 2020","Feb 23, 2020","Feb 24, 2020","Feb 25, 2020","Feb 26, 2020","Feb 27, 2020","Feb 28, 2020","Feb 29, 2020","Mar 1, 2020","Mar 2, 2020","Mar 3, 2020"," Mar 4, 2020  11:44 AM GMT","Mar 5, 2020","Mar 6, 2020","Mar 7, 2020","Mar 8, 2020","Mar 9, 2020","Mar 10, 2020","Mar 11, 2020",,,,,,Updaters,,Informers,,,,,,,,,
"80,270",China,+42,,-+119,+3,+17,+59,+77,+93,+149,+131,+259,+444,+688,+769,"+1,771","+1,459","+1,737","+1,982","+2,102","+2,590","+2,829","+3,235","+3,887","+3,694","+3,143","+3,399","+2,656","+3,062","+2,478","+2,015","+15,152","+5,090","+2,641","+2,009","+2,048","+1,886","+1,749",+820,+889,+397,+648,+409,+508,+406,+433,+327,+427,+573,+202,+125,+119,,,,,,,,,,,,,,@yxlearn,@jodigraphics15,,,,,,,,,,
43,Thailand,+1,,,,+1,,,,,,,+3,+2,+1,,+6,,,+5,,,,+6,,,,+7,,,+1,,,,+1,,+1,,,,,,,,+2,+3,,+1,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Japan,,,+1,,,,,,,,+1,,+1,+1,,+3,+5,+10,+3,+3,,,+3,+3,,,+1,+5,+3,+2,,+4,+7,+12,+7,+6,+6,+13,+5,+11,+25,+11,+10,+11,+17,+22,+21,+9,+14,+18,+19,+6,,,,,,,,,,,,,@limahall1,,,,,,,,,,,
706,Cruise ship,,,,,,,,,,,,,,,,,,,,,,,+10,+10,,+41,+3,+6,+65,+39,,+44,,+67,+70,+99,+88,+79,+13,,,+57,,,+14,,,,,+1,,,,,,,,,,,,,,,@limahall1,,,,,,,,,,,
"5,621",South Korea,,,,,,,,+1,,,,+1,,,+2,,,+2,+5,+1,+3,,+1,+7,,+1,,+3,,+1,,,,,+1,+1,+1,+20,+53,+100,+229,+169,+231,+144,+284,+505,+571,+813,+586,+476,+974,+435,,,,,,,,,,,,,@jake_spann,,,,,,,,,,,
42,Taiwan,,,,,,,,,+1,,,+2,,,+2,+2,+1,+1,+1,,,,+1,,+5,,+1,+1,,,,,,,+2,+2,,+1,+1,+2,,+2,+2,+1,+1,,+2,+5,+1,+1,+1,,,,,,,,,,,,,,Yi Lun Weng,,,,,,,,,,,
127,USA,,,,,,,,,+1,,,+1,,+3,,,,+1,+1,+1,+1,+2,,+1,,,,,,+1,,+2,,,,,,,,+20,,,+18,+4,+3,,+3,+5,+11,+23,+20,+5,,,,,,,,,,,,,@msmakita,@shernicejohnson,@GoRogueAnalysis,Gabriel Pragin,,,,,,,,
10,Macau,,,,,,,,,,+1,+1,,,+3,,,,+2,,+1,,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Hong Kong,,,,,,,,,,+2,,+3,,+3,,,+2,+2,+1,+1,,+1,+2,+4,+3,+2,,+10,+6,+7,+1,+3,+3,,+1,+3,+2,+3,+4,,+1,+4,+7,+4,+6,+2,+1,+1,+3,+2,+0,,,,,,,,,,,,,,@iamdaniellow,,,,,,,,,,,
110,Singapore,,,,,,,,,,,+1,+2,+1,,+1,+2,+3,+3,+3,+2,,,+6,+4,+2,+3,+7,+3,+2,+2,+3,+8,+9,+5,+3,+2,+4,+3,+1,+1,+3,,+1,+1,+2,+3,+2,+4,+4,+2,+2,,,,,,,,,,,,,,@septian,,,,,,,,,,,
16,Vietnam,,,,,,,,,,,+2,,,,,,,+3,,+1,+1,+1,+2,,+2,,+1,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nepal,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,France,,,,,,,,,,,,+3,,,,+1,+1,+1,,,,,,,,,+5,,,,,,,+1,,,,,,,,,,+2,+4,+20,+19,+43,+30,+61,+21,,,,,,,,,,,,,,@FrCovid19,,,,,,,,,,,
43,Australia,,,,,,,,,,,,,+4,,+1,,+2,+2,,+3,,,+1,+1,+1,,,,,,,,,,,,,,,+4,+2,+1,,,+1,,+2,,+4,+1,+2,+11,,,,,,,,,,,,,,,,,,,,,,,,
50,Malaysia,,,,,,,,,,,,,+4,,,,+3,+1,,,,,+2,+2,+2,+1,+1,+1,+1,,,+1,,+3,,,,,,,,,,,,+1,+2,,+4,,+7,+14,,,,,,,,,,,,,@alanusedbooks,,,,,,,,,,,
33,Canada,,,,,,,,,,,,+1,+1,+1,,,,,+1,,,+1,,,+2,,,,,,,,+1,,,,,,+1,,,,+2,,+1,+2,+2,+4,+4,+3,+3,+3,,,,,,,,,,,,,"@officialEBoland
",@diab_elie,@radicle110,,,,,,,,,
1,Sri Lanka,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Germany,,,,,,,,,,,,,,,+1,+3,,+1,+2,+1,+2,+2,,,+1,+1,,,,+2,,,,,,,,,,,,,,+2,+12,+21,+26,+4,+49,+35,+38,+37,,,,,,,,,,,,,@niemieckapolity,,,,,,,,,,,
27,UAE,,,,,,,,,,,,,,,,,+1,+3,,+1,,,,,,+2,,,+1,,,,,,+1,,,,,+2,+2,,,,,+6,,+2,,,+6,,,,,,,,,,,,,,,,,,,,,,,,,
7,Finland,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+1,,+3,+1,,,,,,,,,,,,,,,Maire,,,,,,,,,,,
28,India,,,,,,,,,,,,,,,,,,+1,,,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+1,+22,,,,,,,,,,,,,@Sanchari_23,,,,,,,,,,,
3,Philippines,,,,,,,,,,,,,,,,,,+1,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cambodia,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,502",Italy,,,,,,,,,,,,,,,,,,+2,,,,,,,+1,,,,,,,,,,,,,,,+17,+59,+73,+76,+95,+143,+184,+238,+220,+581,+347,+466,,,,,,,,,,,,,,@JJ_Cappa,@Mus0ItA,@WhiteStar97,,,,,,,,,
53,UK,,,,,,,,,,,,,,,,,,,+2,,,,,,+1,,,+1,+4,,+1,,,,,,,,,,,+4,,,,+3,+4,+3,+13,+4,+11,+2,,,,,,,,,,,,,@mayferch,,,,,,,,,,,
3,Russia,,,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sweden,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+5,+4,+2,+1,+1,+15,+2,,,,,,,,,,,,,,,,,,,,,,,,
168,Spain,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,+1,,,,,,,,,,,,,,,+1,+4,+6,+14,+15,+23,+18,+41,+44,,,,,,,,,,,,,,@Sukeema,@soldiciembre,@RubenApps,,,,,,,,,
23,Belgium,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+6,+5,+10,,,,,,,,,,,,,,,,,,,,,,,,
2,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,922",Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+3,+13,+10,+15,+18,+34,+44,+106,+143,+205,+385,+523,+835,+586,,,,,,,,,,,,,@mohsenbarekati,,,,,,,,,,,
15,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+1,,,,+1,+3,,+4,,+2,+3,,,,,,,,,,,,,,,,,,,,,,,,
13,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,+1,+1,,+1,+6,+3,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5,+6,+15,+17,+2,,+1,+10,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+21,+10,,+5,,+9,+2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+4,,+2,+1,+5,+6,+7,+6,,,,,,,,,,,,,,,,,,,,,,,,,
12,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+2,,+2,,,,,+6,,,,,,,,,,,,,,,,,,,,,,,,,
27,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,+3,+1,+3,+5,+4,+6,+3,,,,,,,,,,,,,Tanja Malle,,@scharlatanja,,,,,,,,,
9,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,,+2,+1,+1,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,
61,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+7,+7,+3,+6,+18,+15,+4,,,,,,,,,,,,,Tony,,,,,,,,,,,
8,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,+2,+2,,+3,,,,,,,,,,,,,,,,,,,,,,,,
2,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,+1,+3,,,,+1,,,,,,,,,,,,,@Onomastos,,Dionisios Lymp.,@Dennie____,,,,,,,,
5,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,+2,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+3,+2,+9,+4,+6,+8,,,,,,,,,,,,,,Marianne,,,,,,,,,,,
4,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+2,,,,+1,,,,,,,,,,,,,,@Gorunalex,,,,,,,,,,,
10,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+1,+1,+1,,+6,,,,,,,,,,,,,,,,,,,,,,,,,
2,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
23,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+1,+5,+3,+8,+5,,,,,,,,,,,,,,,,,,,,,,,,,
10,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,+7,+2,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
6,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,+2,+3,,,,,,,,,,,,,,,,,,,,,,,,
3,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+2,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+2,+6,+5,+2,,,,,,,,,,,,,,,,,,,,,,,,
1,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,+4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+5,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
5,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+2,+1,,,,,,,,,,,,,,,@_morning_,,,,,,,,,
1,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Argentina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,
